id,status,province,district,tehsil,city,problem
e9c347df-291e-4da5-94e0-86f71a83ea26,admin_approved,Punjab,Chakwal,لاوہ,لاوہ,Tehsil does not belong to the selected district in built-in dataset
eb1a8433-e0a2-4012-bc05-b1b4d3d2320b,draft,Khyber Pakhtunkhwa,Shangla,مارتونگ، پورن,گاؤں دانکول,Tehsil does not belong to the selected district in built-in dataset
eba7be6e-5b1e-41a2-b833-91281c39a73a,draft,Punjab,Chakwal,Talagang,کوٹہڑہ نزد چینجی,Tehsil does not belong to the selected district in built-in dataset
ebb42b40-5d03-404f-b204-43e52f41357f,draft,Sindh,Central Karachi,Korangi Town,کراچی,Tehsil does not belong to the selected district in built-in dataset
ec396fbd-78b7-4cd2-bfeb-090efb7804c5,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Kalabut,Tehsil does not belong to the selected district in built-in dataset
eda1c0b2-8428-40d3-a73d-629e7249177e,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Malkpur,Tehsil does not belong to the selected district in built-in dataset
ee07a39d-1120-484d-afd2-c5f0fa396edb,draft,Sindh,South Karachi,Karachi,Baldia town,Tehsil does not belong to the selected district in built-in dataset
ee9a2982-eb3f-43af-ab05-bab120899501,draft,Sindh,Khairpur,ٹھری میرواھ,گاؤں قائم شاہ,Tehsil does not belong to the selected district in built-in dataset
efa5a4a6-f98a-4856-8956-7d69b4dcbbf1,draft,Khyber Pakhtunkhwa,Buner,Gadazai,Jowar district Buner,Tehsil does not belong to the selected district in built-in dataset
efcd6690-37bf-4497-a7ca-da46ea888b61,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Buner,Tehsil does not belong to the selected district in built-in dataset
f0adabfe-5377-4de4-817b-a747ea274965,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Kinger Galay Kalay,Tehsil does not belong to the selected district in built-in dataset
f2389e76-1eca-4d8b-a93f-91168d570334,draft,Khyber Pakhtunkhwa,Shangla,مارتونگ، پورن,گاؤں دانکول,Tehsil does not belong to the selected district in built-in dataset
f34d0bb8-b0bb-492b-be78-fed63a12d480,needs_correction,Khyber Pakhtunkhwa,Buner,gadezi,salarzai,Tehsil does not belong to the selected district in built-in dataset
f3f03de7-ea3b-4618-a34f-7451e1dced92,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Pirbaba village kala khela,Tehsil does not belong to the selected district in built-in dataset
f4137007-27cc-40c5-94be-ff01f6e07c8c,admin_approved,Sindh,East Karachi,Korangi Town,Sector 8 b,Tehsil does not belong to the selected district in built-in dataset
f48341b6-2790-4cf5-b8f8-f213adc2aa51,draft,Sindh,West Karachi,کراچی,سائٹ ایریا,Tehsil does not belong to the selected district in built-in dataset
f4c27ae4-1b70-4e7a-be61-943d57d4a5b5,rejected,Sindh,Central Karachi,Gulshan Iqbal,Gulshan Town,Tehsil does not belong to the selected district in built-in dataset
f6e99fbc-f0cb-4034-936f-6f15eef42435,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Buner,Tehsil does not belong to the selected district in built-in dataset
f779b1ce-2bdc-46fc-ba61-bac17820a727,draft,Punjab,Chakwal,Talagang,Mehmoodwala,Tehsil does not belong to the selected district in built-in dataset
f8d6192d-3d3e-46e4-8ba3-bc492f289042,draft,Sindh,Kambar Shahdad Kot,قمبر,گوٹھ,Tehsil does not belong to the selected district in built-in dataset
f9114b88-aad4-49d3-94ff-eec1ce01bf58,rejected,Sindh,Central Karachi,Gulshan Iqbal,Gulshan Town,Tehsil does not belong to the selected district in built-in dataset
f96b0404-b74a-4782-91c1-e6eb452524e3,draft,Sindh,Malir Karachi,East,Landhi Town,Tehsil does not belong to the selected district in built-in dataset
f9e24d60-0eba-4f3a-ac57-b0c659cef046,draft,Sindh,Korangi Karachi,Shah Faisal town,Karachi,Tehsil does not belong to the selected district in built-in dataset
fa102eeb-db7e-4f85-b88c-c4d785c2ff7c,admin_approved,Sindh,East Karachi,Korangi Town,Bilal colony,Tehsil does not belong to the selected district in built-in dataset
faaec878-ebef-4012-a88a-03d7af673d82,needs_correction,Khyber Pakhtunkhwa,Buner,Gadezai,pir baba,Tehsil does not belong to the selected district in built-in dataset
fccfed20-1da7-4bea-b7c5-f6341790aee2,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Pir Baba,Tehsil does not belong to the selected district in built-in dataset
fcd4a8c5-297a-4568-8606-3e5dc06848eb,needs_correction,Sindh,South Karachi,Karachi,سائٹ ایریا,Tehsil does not belong to the selected district in built-in dataset
fd766fc4-ced4-4268-9f04-9a042ae68c71,draft,Sindh,Kambar Shahdad Kot,قمبر,گوٹھ,Tehsil does not belong to the selected district in built-in dataset
fe8e116b-ccc2-4bbf-a606-a8c34943fed5,needs_correction,Sindh,South Karachi,Karachi,سائٹ ایریا,Tehsil does not belong to the selected district in built-in dataset
ff6c1568-e4d7-4884-a1ef-3e20f66d0d34,draft,Khyber Pakhtunkhwa,Buner,Gadezai,Pir Baba,Tehsil does not belong to the selected district in built-in dataset
ff8c5667-084c-4e44-9b03-20db69d8e370,draft,Punjab,Mianwali,mianwali,Sarwar khail chidru,Tehsil does not belong to the selected district in built-in dataset
